Trial	Beat	Sentence	Sentence_extraction	Congruency	Probe	Probe_clause	Response	Accuracy	RT
41	binary_beat	['The', 'man', 'was very', 'hungry', 'after the', 'meeting', 'so', 'had', 'lunch', 'early']	other	congruent	The boy was hungry?	other	n	1	1.9581422730116174
42	binary_beat	['The', 'cook', 'that', 'hugged', 'the', 'maid', 'had a', 'tear', 'on her', 'cheek']	subject extracted	congruent	The cook hugged the maid? 	relative_clause	n	0	3.6955873429833446
43	binary_beat	['The', 'guest', 'that', 'the', 'host', 'kissed', 'brought a', 'cake', 'to the', 'party']	object extracted	congruent	The guest kissed the host?	relative_clause	y	0	3.192720315011684
44	binary_beat	['The', 'dog', 'that', 'barked', 'is very', 'big', 'and very', 'friendly', 'but', 'doesn’t', 'like', 'cats']	other	congruent	The dog is very big?	other	y	1	1.4403056669980288
45	ternary_beat	['The', 'knight', 'that', 'the', 'king', 'helped', 'sent a', 'gift', 'from', 'his', 'castle']	object extracted	incongruent	The knight helped the king?	relative_clause	n	1	2.392543732014019
46	ternary_beat	['The', 'clerk', 'that the', 'boss', 'liked', 'had', 'a', 'desk', 'by', 'the', 'window']	object extracted	congruent	The boss had a desk by the window?	main_clause	n	1	2.891573475993937
47	binary_beat	['The', 'priest', 'that paid', 'the', 'cook', 'signed', 'the', 'check', 'at the', 'bank']	subject extracted	incongruent	The cook signed the check?	main_clause	n	1	1.3734623819764238
48	ternary_beat	['The', 'whale', 'that the', 'shark', 'bit', 'won', 'the', 'fight', 'in', 'the', 'end']	object extracted	congruent	The shark won the fight?	main_clause	n	1	3.712669629981974
49	binary_beat	['The', 'girl', 'kicked the', 'ball', 'into the', 'window', 'but it', 'did', 'not', 'break']	other	congruent	The girl kicked the ball?	other	y	1	1.4904143570165616
50	ternary_beat	['The', 'desk', 'that', 'the', 'bed', 'scratched', 'was too', 'old', 'to', 'be', 'moved']	object extracted	incongruent	The desk scratched the bed?	relative_clause	y	0	2.9778602519945707
51	binary_beat	['The', 'dessert', 'was', 'served', 'with', 'custard', 'and', 'fruit', 'then', 'there', 'was', 'coffee']	other	congruent	The coffee was before dessert?	other	y	0	3.7128900600073393
52	binary_beat	['The', 'colour', 'of the', 'house', 'was', 'brighter', 'than the', 'men', 'who travelled', 'expected']	other	congruent	The men were colourfully dressed?	other	n	1	1.540798984002322
53	ternary_beat	['The', 'car', 'that', 'the', 'truck', 'pulled', 'had a', 'scratch', 'on', 'the', 'door']	object extracted	incongruent	The truck pulled the car?	relative_clause	y	1	5.13252754000132
54	binary_beat	['The', 'box', 'was', 'made', 'from', 'wood', 'and was', 'full', 'of', 'things', 'that', 'shined']	other	congruent	The box was shiny?	other	n	1	2.3582691909978166
55	binary_beat	['The', 'tradie', 'that thanked', 'the', 'man', 'left', 'his', 'wallet', 'in the', 'car']	subject extracted	incongruent	The man left his wallet?	main_clause	n	1	3.242578189005144
56	binary_beat	['The', 'bum', 'that scared', 'the', 'cop', 'crossed', 'the', 'street', 'at the', 'light']	subject extracted	incongruent	The cop scared the bum?	relative_clause	y	0	3.228833889006637
57	binary_beat	['The', 'apples', 'that', 'the', 'couple', 'bought', 'at the', 'market', 'were', 'red']	other	congruent	The couple bought green apples?	other	n	1	2.0246787229843903
58	binary_beat	['The', 'priest', 'that', 'the', 'nun', 'thanked', 'left the', 'church', 'in a', 'hurry']	object extracted	congruent	The nun thanked the priest?	relative_clause	n	0	2.9444587470206898
59	binary_beat	['The', 'truck', 'that the', 'car', 'bumped', 'had', 'a', 'man', 'at the', 'wheel']	object extracted	incongruent	The truck had a man at the wheel?	main_clause	y	1	2.927608762984164
60	ternary_beat	['The', 'maid', 'that', 'loved', 'the', 'chef', 'quit the', 'job', 'at', 'the', 'house']	subject extracted	incongruent	The chef loved the maid?	relative_clause	n	1	1.5398293900070712
61	binary_beat	['The', 'count', 'that the', 'queen', 'knew', 'owned', 'a', 'castle', 'by the', 'lake']	object extracted	incongruent	The queen knew the count?	relative_clause	n	0	5.199499348993413
62	binary_beat	['The', 'cat', 'chased the', 'bird', 'but', 'it', 'flew', 'away', 'into the', 'sunset']	other	congruent	The cat chased the bird?	other	y	1	1.2561406480090227
63	binary_beat	['The', 'bloke', 'that the', 'mum', 'helped', 'gave', 'a', 'gift', 'to say', 'thanks']	object extracted	incongruent	The bloke gave a gift?	main_clause	y	1	0.9713047650002409
64	ternary_beat	['The', 'kid', 'that followed', 'the', 'dad', 'had', 'some', 'mud', 'on', 'his', 'shoes']	subject extracted	congruent	The dad had some mud on his shoes?	main_clause	y	0	2.2763206120289396
65	binary_beat	['The', 'crook', 'that', 'warned', 'the', 'thief', 'fled the', 'town', 'the next', 'morning']	subject extracted	congruent	The crook warned the thief?	relative_clause	y	1	2.927576930989744
66	binary_beat	['The', 'wine', 'that was', 'fancy', 'was', 'kept', 'in the', 'cellar', 'for', 'nearly', 'ten', 'years', 'and five', 'months']	other	congruent	The wine was bad?	other	n	1	1.0390332789975218
67	ternary_beat	['The', 'boat', 'that chased', 'the', 'yacht', 'made', 'a', 'turn', 'at', 'the', 'boathouse']	subject extracted	congruent	The boat chased the yacht?	relative_clause	y	1	1.8919189570005983
68	binary_beat	['The', 'boy', 'who', 'had', 'a', 'birthday', 'called', 'his', 'best', 'friend', 'for a', 'chat']	other	congruent	The friend called the boy?	other	n	1	2.827406655997038
69	binary_beat	['The', 'car', 'that was', 'new', 'had', 'just', 'been', 'cleaned', 'by', 'the', 'old', 'lady']	other	congruent	The car was new?	other	y	1	2.2932760379917454
70	binary_beat	['The', 'hat', 'that the', 'skirt', 'matched', 'had', 'a', 'bow', 'in the', 'back']	object extracted	incongruent	The skirt had a bow?	main_clause	y	0	1.7750958400138188
71	binary_beat	['The', 'girl', 'and the', 'boy', 'that', 'owned', 'the', 'horse', 'had', 'mud', 'on their', 'clothes']	other	congruent	The horse was muddy?	other	n	1	2.6765477849985473
72	ternary_beat	['The', 'boss', 'that', 'mocked', 'the', 'clerk', 'had a', 'crush', 'on', 'the', 'intern']	subject extracted	incongruent	The boss had a crush?	main_clause	y	1	1.6712039000121877
73	binary_beat	['The', 'groom', 'that', 'the', 'aunt', 'charmed', 'raised a', 'toast', 'to the', 'parents']	object extracted	congruent	The aunt charmed the groom?	relative_clause	n	0	1.9240229599818122
