Trial	Beat	Sentence	Sentence_extraction	Congruency	Probe	Probe_clause	Response	Accuracy	RT
33	binary_beat	['The', 'boy', 'who', 'had', 'a', 'birthday', 'called', 'his', 'best', 'friend', 'for a', 'chat']	other	congruent	The friend called the boy?	other	n	1	2.357284083999957
34	binary_beat	['The', 'fox', 'that', 'chased', 'the', 'wolf', 'hurt its', 'paws', 'on the', 'way']	subject extracted	congruent	The wolf chased the fox? 	relative_clause	y	0	2.0244038189999856
35	binary_beat	['The', 'cup', 'was', 'made', 'from green', 'plastic', 'and was', 'filled', 'with', 'juice']	other	congruent	The cup was full of green juice?	other	n	1	2.710242042000118
36	binary_beat	['The', 'boy', 'that', 'helped', 'the', 'girl', 'got an', 'A', 'on the', 'test']	subject extracted	congruent	The girl helped the boy?	relative_clause	n	1	1.9557130690000122
37	ternary_beat	['The', 'dad', 'that', 'knew', 'the', 'chef', 'had a', 'son', 'with', 'a', 'limp']	subject extracted	incongruent	The dad had a son with a limp?	main_clause	n	0	2.92708209500006
38	ternary_beat	['The', 'scout', 'that', 'the', 'coach', 'punched', 'had a', 'fight', 'with', 'a', 'manager']	object extracted	incongruent	The coach had a fight?	main_clause	y	0	2.3762928840001223
39	ternary_beat	['The', 'girl', 'that pushed', 'the', 'nerd', 'broke', 'the', 'vase', 'with', 'the', 'flowers']	subject extracted	congruent	The nerd broke the vase?	main_clause	n	1	3.511211608999929
40	binary_beat	['The', 'truck', 'that the', 'car', 'bumped', 'had', 'a', 'man', 'at the', 'wheel']	object extracted	incongruent	The truck had a man at the wheel?	main_clause	y	1	1.9251276459999644
41	binary_beat	['The', 'man', 'who was', 'short', 'gave his', 'wife', 'some red', 'candles', 'for her', 'birthday']	other	congruent	The man was tall?	other	n	1	1.5391390149998188
42	binary_beat	['The', 'apples', 'that', 'the', 'couple', 'bought', 'at the', 'market', 'were', 'red']	other	congruent	The couple bought some apples?	other	y	1	3.462241875000018
43	binary_beat	['The', 'man', 'that the', 'nurse', 'phoned', 'left', 'his', 'pills', 'at the', 'office']	object extracted	incongruent	The nurse left the pills?	main_clause	n	1	1.5903934309999386
44	binary_beat	['The', 'wine', 'that was', 'fancy', 'was', 'kept', 'in the', 'cellar', 'for', 'nearly', 'ten', 'years', 'and five', 'months']	other	congruent	The wine was bad?	other	n	1	2.3091634299998987
45	ternary_beat	['The', 'chief', 'that the', 'girl', 'thanked', 'was', 'too', 'late', 'for', 'the', 'bus']	object extracted	congruent	The chief thanked the girl?	relative_clause	y	0	1.206422056000065
46	ternary_beat	['The', 'owl', 'that the', 'bat', 'scared', 'made', 'a', 'loop', 'in', 'the', 'air']	object extracted	congruent	The owl scared the bat? 	relative_clause	n	1	1.9066050200001428
47	binary_beat	['The', 'boss', 'was', 'happy', 'to', 'see', 'the', 'work', 'that', 'the', 'two', 'girls', 'had', 'done']	other	congruent	The boss was happy?	other	y	1	1.424097836999863
48	binary_beat	['The', 'niece', 'that kissed', 'the', 'aunt', 'sang', 'a', 'song', 'for the', 'guests']	subject extracted	incongruent	The aunt sang a song?	main_clause	n	1	1.5402025790001517
49	ternary_beat	['The', 'boat', 'that the', 'yacht', 'chased', 'made', 'a', 'turn', 'at', 'the', 'boathouse']	object extracted	congruent	The boat chased the yacht?	relative_clause	y	0	1.7543436429998565
50	binary_beat	['The', 'man', 'was very', 'hungry', 'after the', 'meeting', 'so', 'had', 'lunch', 'early']	other	congruent	The man was hungry?	other	y	1	1.1736622299999908
51	ternary_beat	['The', 'priest', 'that the', 'nun', 'thanked', 'left', 'the', 'church', 'in', 'a', 'hurry']	object extracted	congruent	The nun left the church?	main_clause	y	0	1.7882382520001556
52	binary_beat	['The', 'cat', 'that fought', 'the', 'dog', 'licked', 'its', 'wounds', 'in the', 'corner']	subject extracted	incongruent	The cat fought the dog?	relative_clause	n	0	2.7107240840000486
53	ternary_beat	['The', 'bum', 'that scared', 'the', 'cop', 'crossed', 'the', 'street', 'at', 'the', 'light']	subject extracted	congruent	The bum crossed the street?	main_clause	y	1	0.9390728420000869
54	binary_beat	['The', 'clerk', 'that liked', 'the', 'boss', 'had', 'a', 'desk', 'by the', 'window']	subject extracted	incongruent	The clerk had a desk by the window?	main_clause	y	1	1.2402281560000574
55	binary_beat	['The', 'girl', 'and the', 'boy', 'that', 'owned', 'the', 'horse', 'had', 'mud', 'on their', 'clothes']	other	congruent	The boy and girl own a horse?	other	n	0	1.7577766640001755
56	binary_beat	['The', 'bike', 'that was', 'yellow', 'and', 'shiny', 'belonged', 'to', 'the', 'boy', 'with the', 'hat']	other	congruent	The bike was shiny?	other	y	1	2.710217597999872
57	ternary_beat	['The', 'thief', 'that', 'the', 'guard', 'saw', 'had a', 'gun', 'in', 'his', 'holster']	object extracted	incongruent	The guard had a gun?	main_clause	n	1	2.560300619999907
58	binary_beat	['The', 'car', 'that the', 'truck', 'pulled', 'had', 'a', 'scratch', 'on the', 'door']	object extracted	incongruent	The truck had a scratch?	main_clause	n	1	1.9249352739998358
59	binary_beat	['The', 'cop', 'that the', 'spy', 'met', 'wrote', 'a', 'book', 'about the', 'case']	object extracted	incongruent	The spy met the cop?	relative_clause	n	0	1.842132182999876
60	ternary_beat	['The', 'dean', 'that', 'the', 'boy', 'called', 'had a', 'voice', 'full', 'of', 'anger']	object extracted	incongruent	The dean had a voice full of anger?	main_clause	y	1	3.2422393110000485
61	ternary_beat	['The', 'rod', 'that', 'bent', 'the', 'pipe', 'had a', 'hole', 'in', 'the', 'middle']	subject extracted	incongruent	The pipe had a hole?	main_clause	y	0	1.2556040259999008
62	binary_beat	['The', 'girl', 'kicked the', 'ball', 'into the', 'window', 'but it', 'did', 'not', 'break']	other	congruent	The girl kicked the ball?	other	y	1	1.1729363899999043
63	binary_beat	['The', 'crook', 'that', 'the', 'thief', 'warned', 'fled the', 'town', 'the next', 'morning']	object extracted	congruent	The crook warned the thief?	relative_clause	n	1	1.507260180000003
64	ternary_beat	['The', 'prince', 'that the', 'girl', 'helped', 'had', 'a', 'head', 'of', 'blonde', 'hair']	object extracted	congruent	The prince helped the girl?	relative_clause	n	1	1.9748334099999738
65	binary_beat	['The', 'whale', 'that', 'the', 'shark', 'bit', 'won the', 'fight', 'in the', 'end']	object extracted	congruent	The whale bit the shark?	relative_clause	n	1	3.1114898399998765
66	ternary_beat	['The', 'guy', 'that', 'the', 'judge', 'thanked', 'left the', 'room', 'with', 'a', 'smile']	object extracted	incongruent	The guy thanked the judge?	relative_clause	n	1	2.9447242129999722
67	binary_beat	['The', 'colour', 'of the', 'house', 'was', 'brighter', 'than the', 'men', 'who travelled', 'expected']	other	congruent	The men travelled?	other	n	0	3.343394096999873
68	binary_beat	['The', 'fish', 'was', 'caught', 'by the', 'girl', 'on the', 'boat', 'on a', 'Friday']	other	congruent	The fish was caught by the boy?	other	n	1	2.1749663279999822
69	binary_beat	['The', 'groom', 'that', 'the', 'aunt', 'charmed', 'raised a', 'toast', 'to the', 'parents']	object extracted	congruent	The groom raised a toast?	main_clause	y	1	1.9084825439999804
70	binary_beat	['The', 'dancer', 'that liked', 'the', 'guy', 'was', 'a', 'chef', 'in the', 'city']	subject extracted	incongruent	The guy was a chef?	main_clause	n	1	1.5904170969999996
71	ternary_beat	['The', 'kid', 'that', 'followed', 'the', 'dad', 'had some', 'mud', 'on', 'his', 'shoes']	subject extracted	incongruent	The dad followed the kid?	relative_clause	n	1	2.1088755669998136
72	binary_beat	['The', 'dean', 'that heard', 'the', 'guard', 'made', 'a', 'call', 'about the', 'matter']	subject extracted	incongruent	The dean heard the guard?	relative_clause	n	0	2.690961770000058
73	binary_beat	['The', 'priest', 'that the', 'cook', 'paid', 'signed', 'the', 'check', 'at the', 'bank']	object extracted	incongruent	The cook signed the check?	main_clause	n	1	2.5431393609999304
